annee,code_insee,secteur,energie,conso_reel_mwh,conso_normal_mwh
2017,78202,RES,ELEC,2357.26,2415.59
2017,78206,RES,ELEC,11801.06,12044.26
2017,78208,RES,ELEC,50892.44,51840.64
2017,78209,RES,ELEC,3662.74,3752.89
2017,78217,RES,ELEC,21214.06,21682.67
2017,78220,RES,ELEC,22320.36,22814.82
2017,78224,RES,ELEC,14069.2,14289.45
2017,78227,RES,ELEC,2987.7,3058.58
2017,78230,RES,ELEC,2110.12,2158.77
2017,78231,RES,ELEC,767.59,786.45
2017,78233,RES,ELEC,14104.85,14418.6
2017,78234,RES,ELEC,845.94,866.56
2017,78236,RES,ELEC,1479,1517.88
2017,78237,RES,ELEC,1333,1367.01
2017,78238,RES,ELEC,9529.66,9770.25
2017,78239,RES,ELEC,6322.19,6461.48
2017,78242,RES,ELEC,24934.68,25502.89
2017,78245,RES,ELEC,1618.15,1656.32
2017,78246,RES,ELEC,3232.58,3290.87
2017,78255,RES,ELEC,12970.6,13237.18
2017,78261,RES,ELEC,2412.8,2466.57
2017,78262,RES,ELEC,4595.98,4697.97
2017,78263,RES,ELEC,12706.94,13001.99
2017,78264,RES,ELEC,404.75,414.83
2017,78265,RES,ELEC,10423.28,10673.05
2017,78267,RES,ELEC,22413.57,22912.68
2017,78269,RES,ELEC,6532.83,6691.08
2017,78276,RES,ELEC,2342.32,2390.92
2017,78278,RES,ELEC,2657.67,2720.94
2017,78281,RES,ELEC,2895.73,2965.74
2017,78283,RES,ELEC,1268.14,1296.17
2017,78285,RES,ELEC,2761.95,2822.71
2017,78289,RES,ELEC,5793.55,5911.52
2017,78290,RES,ELEC,3824.02,3912.4
2017,78291,RES,ELEC,8562.1,8777.52
2017,78296,RES,ELEC,2521.54,2574.46
2017,78297,RES,ELEC,65263.19,66769.96
2017,78299,RES,ELEC,7508.29,7657.51
2017,78300,RES,ELEC,1888.2,1937.08
2017,78302,RES,ELEC,1451.55,1480.13
2017,78305,RES,ELEC,1504.61,1539.88
2017,78307,RES,ELEC,4846.19,4953.85
2017,78310,RES,ELEC,1677,1719.75
2017,78311,RES,ELEC,74777.12,76348.03
2017,78314,RES,ELEC,11619.61,11861.99
2017,78317,RES,ELEC,3079.19,3152.87
2017,78320,RES,ELEC,3160.28,3228.28
2017,78321,RES,ELEC,19962.21,20397.77
2017,78322,RES,ELEC,22278.9,22777.21
2017,78324,RES,ELEC,2236.17,2289.85
2017,78325,RES,ELEC,2712.81,2781.89
2017,78327,RES,ELEC,13453.97,13767.87
2017,78329,RES,ELEC,4103.9,4209.62
2017,78334,RES,ELEC,6784.35,6946.16
2017,78335,RES,ELEC,41405.13,42373.79
2017,78337,RES,ELEC,6570.09,6712.51
2017,78343,RES,ELEC,5639.57,5729.93
2017,78344,RES,ELEC,2768,2827.64
2017,78346,RES,ELEC,6392.33,6532.45
2017,78349,RES,ELEC,2541.87,2592.11
2017,78350,RES,ELEC,19809.76,20154.08
2017,78354,RES,ELEC,13964.32,14223.98
2017,78356,RES,ELEC,22133.49,22502.71
2017,78358,RES,ELEC,59671.97,60870.61
2017,78361,RES,ELEC,81038.23,82678.15
2017,78362,RES,ELEC,44044.72,44947.71
2017,78364,RES,ELEC,3346.09,3422.74
2017,78366,RES,ELEC,1411.18,1436.23
2017,78367,RES,ELEC,11020.66,11222.72
2017,78368,RES,ELEC,5197.38,5279.6
2017,78372,RES,ELEC,35998.5,36793.27
2017,78380,RES,ELEC,21205.59,21711.54
2017,78381,RES,ELEC,2688,2739.38
2017,78382,RES,ELEC,12948.7,13240.34
2017,78383,RES,ELEC,40188.31,40745.71
2017,78384,RES,ELEC,5231.59,5331.31
2017,78385,RES,ELEC,957.46,982.15
2017,78389,RES,ELEC,7283.72,7438.65
2017,78391,RES,ELEC,1420.46,1456.08
2017,78396,RES,ELEC,17367.96,17707.35
2017,78397,RES,ELEC,17244.41,17515.06
2017,78398,RES,ELEC,5184.7,5295.97
2017,78401,RES,ELEC,24854.21,25489.95
2017,78402,RES,ELEC,12242.53,12540.47
2017,78403,RES,ELEC,7155.58,7317.85
2017,78404,RES,ELEC,14856.99,15194.26
2017,78406,RES,ELEC,1556.8,1585.59
2017,78407,RES,ELEC,2854.61,2924.98
2017,78410,RES,ELEC,4619.48,4730.37
2017,78413,RES,ELEC,1671.75,1711.85
2017,78415,RES,ELEC,2577.87,2636.97
2017,78416,RES,ELEC,1443.35,1479.64
2017,78417,RES,ELEC,1132.9,1144.48
2017,78418,RES,ELEC,41814.55,42701.55
2017,78420,RES,ELEC,12690.04,12988.59
2017,78423,RES,ELEC,100648.8,103400.63
2017,78431,RES,ELEC,13284.89,13621.7
2017,78437,RES,ELEC,2870.84,2938.17
2017,78439,RES,ELEC,590.06,602.11
2017,78440,RES,ELEC,62259.68,63670.1
2017,78442,RES,ELEC,12137.78,12438.51
2017,78443,RES,ELEC,3105.66,3167.77
2017,78444,RES,ELEC,3508.85,3591.77
2017,78451,RES,ELEC,3348.23,3414.83
2017,78455,RES,ELEC,28008.13,28758.68
2017,78460,RES,ELEC,5017.04,5142.85
2017,78464,RES,ELEC,3832.01,3932.2
2017,78465,RES,ELEC,4275,4363.29
2017,78466,RES,ELEC,26501.77,27054.35
2017,78470,RES,ELEC,3955.87,4060.67
2017,78472,RES,ELEC,1213.25,1240.59
2017,78474,RES,ELEC,1262,1291.7
2017,78475,RES,ELEC,8926,9123.86
2017,78478,RES,ELEC,1099.79,1126.57
2017,78481,RES,ELEC,31999.71,32522.67
2017,78484,RES,ELEC,2817.58,2888.31
2017,78486,RES,ELEC,24781,25366.27
2017,78490,RES,ELEC,63985.79,64911.53
2017,78497,RES,ELEC,4868.96,4978.98
2017,78498,RES,ELEC,82469.31,84454.86
2017,78499,RES,ELEC,2843.03,2917.93
2017,78501,RES,ELEC,9700.4,9932.7
2017,78502,RES,ELEC,12950.23,13271.4
2017,78505,RES,ELEC,3348,3431.65
2017,78506,RES,ELEC,3911,4003.82
2017,78513,RES,ELEC,8515.34,8707.75
2017,78516,RES,ELEC,3656.96,3728.57
2017,78517,RES,ELEC,75821.45,77573.88
2017,78518,RES,ELEC,509.54,518.55
2017,78520,RES,ELEC,1659,1697.46
2017,78522,RES,ELEC,4657.59,4764.9
2017,78528,RES,ELEC,1428.92,1455.91
2017,78530,RES,ELEC,1469.88,1493.54
2017,78531,RES,ELEC,17719.37,18078.22
2017,78536,RES,ELEC,1681.55,1727.42
2017,78537,RES,ELEC,24206.15,24793.33
2017,78545,RES,ELEC,42578.69,43629.13
2017,78548,RES,ELEC,2294.86,2345.27
2017,78550,RES,ELEC,6539.49,6678.95
2017,78551,RES,ELEC,122110.56,125130.72
2017,78557,RES,ELEC,3697.6,3782.75
2017,78558,RES,ELEC,1462.66,1493.51
2017,78559,RES,ELEC,1660.92,1698.77
2017,78561,RES,ELEC,1813.95,1840.24
2017,78562,RES,ELEC,7190.12,7369.98
2017,78564,RES,ELEC,2525.25,2577.13
2017,78565,RES,ELEC,1630,1670.4
2017,78567,RES,ELEC,3516.09,3589.71
2017,78569,RES,ELEC,3268.88,3339.84
2017,78571,RES,ELEC,23885.49,24406.13
2017,78575,RES,ELEC,23072.62,23469.75
2017,78576,RES,ELEC,8046.27,8251.67
2017,78586,RES,ELEC,105700.24,107613.89
2017,78588,RES,ELEC,4081.08,4187.02
2017,78590,RES,ELEC,2558.44,2604.39
2017,78591,RES,ELEC,8618.96,8816.37
2017,78597,RES,ELEC,4993.99,5124.02
2017,78601,RES,ELEC,7160.65,7335.97
2017,78605,RES,ELEC,1416.99,1452.94
2017,78606,RES,ELEC,323.58,328.82
